avg_cost,cuisines,id,location,name,price_range,rating
1400,"Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",18543388,"1200, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Boozers Bar & Kitchen,3,4.3
500,"Healthy Food, North Indian, South Indian, Continental, Sandwich, Desserts",18657127,"1/8, 1st Stage, 1st Cross, KK Computers Building, Shri Krishna Temple Road, Indiranagar, Bangalore",eat.fit,2,4.5
800,"Biryani, Chinese, North Indian, South Indian",18817272,"First Floor, 2021, Salapuria Palladium, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Dindigul Thalappakatti,2,4.3
1300,"Italian, Pizza, Salad",18408742,"2022, 100 Feet Road,HAL 2nd Stage, Indiranagar, Bangalore",Pasta Street,3,4.5
1100,South Indian,52368,"477, Krishna Temple Road, 1st Stage, Off 100 Feet Road, Indiranagar, Bangalore",The Restaurant - Coorg,3,4.3
800,"Cafe, Desserts",53579,"#263, Domlur 2nd Stage, Indiranagar, Bangalore",Lavonne,2,4.5
700,"Cafe, American, Fast Food, Coffee, Continental",18246495,"1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore",Bean Flickers,2,4.3
1000,Italian,18682433,"759, 1st Floor, 100 Feet Road, Indira Nagar, Bangalore",Bologna,3,4.5
2500,"Modern Indian, European, American",18455571,"3, 4 Floor, 618, HAL 2nd Stage, Indiranagar, Bangalore",Sly Granny - The Community House,4,4.5
400,"Desserts, Bakery",18460058,"Indiranagar, Bangalore",Gobble Up Churros Cafe,1,4.3
150,"Ice Cream, Desserts",53715,"Next to Apple Of My Eye, 12th Main, 2nd Stage, HAL, Off 100 Feet Road, Indiranagar, Bangalore",Natural Ice Cream,1,4.5
400,"Desserts, Cafe, Ice Cream",18598561,"12th Main Road Junction, Double Road, Indiranagar, Bangalore",Mama Mia!,1,4.3
500,"Healthy Food, Desserts",18398387,"Second Floor, Madison Complex, HAL 2nd Stage, Kodihalli, Indiranagar, Bangalore",PurpleBasil.in,2,4.5
400,"Desserts, Beverages",18752169,"954, 12th Main Road, HAL 2nd Stage, Appareddipalya, Indiranagar, Bangalore",XO Belgian Waffle,1,4.3
200,"Ice Cream, Desserts",18534130,"100/1B, 10th Cross, 2nd Main, Indiranagar, Bangalore",Apsara Ice Cream,1,4.5
650,"Burger, American, Beverages, Cafe",18738761,"7/1, G J Complex, 100 Feet Road, Indiranagar, Bangalore",Biggies Burger 'n' More,2,4.3
50,"Tea, Beverages",54309,"7, Veeranjanaya Temple Road, New Thippasandra, Thippasandra, Bangalore",Sharon Tea Stall,1,4.5
600,"Fast Food, Pizza",18579416,"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",Mojo Pizza - 2X Toppings,2,4.3
1400,"Chinese, Continental, North Indian, Mexican",18275048,"2008, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore",Tipsy Bull - The Bar Exchange,3,4.4
600,"Cafe, Healthy Food, Momos",18598562,"756, Shri Krishna Temple Road, Next to HDFC Bank, Indiranagar, Bangalore",Dhyaana,2,4.3
800,"Asian, Thai, Indonesian",18755406,"197/A, Double Road, 2nd Stage, Opposite HDFC Bank, Indiranagar, Bangalore",Thai Chy,2,4.4
300,Desserts,18682650,"6, 18th Main Road, 100 Feet Rd, HAL 2nd Stage, Indiranagar, Bangalore",Brownie Heaven,1,4.3
1100,North Indian,18432985,"618, 2nd Floor, Above Chicco, 12th Main, Indiranagar, Bengaluru",Dhaba - Estd 1986 Delhi,3,4.4
200,"Cafe, Tea, Beverages, Fast Food",18854419,"2019, 100 Feet Road, Indiranagar, Bangalore",Chai Days,1,4.3
1000,"Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",18221564,"36, 80 Feet Road, Indiranagar, Bangalore",Lazy Suzy,3,4.4
1700,"Continental, North Indian, Finger Food",58450,"The Paul Bangalore, 139/28, Opposite Embassy Golf Links, Off Intermediate Ring Road, Domlur, Bangalore",Murphy's Brewhouse - The Paul Bangalore,3,4.3
1800,Modern Indian,18407918,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Bombay Brasserie,3,4.4
500,"Bakery, Desserts",57215,"Domlur, Bangalore",Warm Oven,2,4.3
1400,"American, Tex-Mex, Burger, BBQ, Mexican",58998,"Plot 1135, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Chili's American Grill & Bar,3,4.4
