avg_cost,cuisines,id,location,name,price_range,rating
1600,"Continental, North Indian, Italian, South Indian, Finger Food",58882,"Behind MK Retail, Sarjapur Road, Bangalore",Byg Brewski Brewing Company,3,4.9
1600,"European, Mediterranean, North Indian, BBQ",18148977,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",AB's - Absolute Barbecues,3,4.9
1500,"Asian, Chinese, Thai, Momos",18221544,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Asia Kitchen By Mainland China,3,4.9
1200,"Pizza, Italian, European, Beverages",18603822,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",The Pizza Bakery,3,4.9
2000,"North Indian, Mughlai",18581089,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore",Punjab Grill,4,4.9
1400,"American, Tex-Mex, Burger, BBQ, Mexican",53966,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Chili's American Grill & Bar,3,4.9
2000,North Indian,18801352,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Hoodi, Whitefield, Bangalore",Punjab Grill,4,4.9
100,South Indian,58576,"1004, 26th Main, Next to HDFC Bank, 4th T Block, Jayanagar, Bangalore",Taaza Thindi,1,4.9
400,"Ice Cream, Desserts",61111,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",Milano Ice Cream,1,4.9
400,Desserts,18512406,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Belgian Waffle Factory ,1,4.9
400,Desserts,18848083,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Belgian Waffle Factory,1,4.9
1500,"North Indian, European, Mediterranean, BBQ",18387426,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",The Black Pearl,3,4.8
1600,"European, Mediterranean, North Indian, BBQ",56618,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",AB's - Absolute Barbecues,3,4.8
1000,"Continental, Asian, North Indian",18323630,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore",House Of Commons,3,4.8
1300,"Continental, North Indian, Asian, Italian",18526279,"2nd Floor, Soul Space Paradigm, Above Bata Showroom, Outer Ring Road, Marathahalli, Bangalore",The Globe Grub,3,4.8
750,"Chinese, American, Continental, Italian, North Indian",18439634,"Shop 44, 4th B Cross Road, Koramangala 5th Block, Bangalore",ECHOES Koramangala,2,4.8
1600,"North Indian, European, Mediterranean, BBQ, Kebab",50066,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Barbeque Nation,3,4.8
1600,"European, Mediterranean, North Indian, BBQ",18561398,"2nd Floor, I20-A2, EPIP Zone, Near Vydehi Hospital, Whitefield, Bangalore",AB's - Absolute Barbecues,3,4.8
200,"Bakery, Desserts",55050,"12th Main, 2nd Block, Rajajinagar, Bangalore",O.G. Variar & Sons,1,4.8
100,South Indian,52098,"Ranga Rao Road, Near Shankar Mutt, Shankarapura, Near Basavanagudi, Bangalore",Brahmin's Coffee Bar,1,4.8
400,Desserts,18568561,"Vasanth Nagar, Bangalore",Belgian Waffle Factory,1,4.8
400,Desserts,18684778,"5M/406, Ground Floor, 2nd Block extension, Hennu-Banaswadi Road, Kalyan Nagar, Bangalore",Belgian Waffle Factory,1,4.8
1500,"Goan, Asian, North Indian, European, Continental",18622410,"26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore",Opus Food Stories,3,4.8
1600,"Finger Food, North Indian, Italian",18706428,"22/123, Byrathi Village, Bidarahalli Hobli, Hennur, Bangalore",Byg Brewski Brewing Company,3,4.7
1400,"Continental, North Indian, BBQ, Steak",18254597,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",Brew and Barbeque - A Microbrewery Pub,3,4.7
900,"Cafe, American, Burger, Steak",51040,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Truffles,2,4.7
1800,"American, Continental, North Indian, Mediterranean",57833,"LR Arcade,4121, Old Airport Road, Bangalore",Big Pitcher,3,4.7
1000,"Continental, Asian, Italian, North Indian",18578798,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",TBC Sky Lounge,3,4.7
1500,"Continental, European, BBQ, Chinese, Asian",18313531,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore",Biergarten,3,4.7
1400,"Asian, Mediterranean, North Indian, BBQ",18631841,"120 A3, 2nd Floor, Santosh Tower, EPIP Industrial Area, Phase 1, Hoodi Village, Whitefield, Bangalore",Flechazo,3,4.7
1500,"Continental, BBQ, Salad",18430785,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Communiti,3,4.7
1400,"Asian, Mediterranean, North Indian, BBQ",18353121,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",Flechazo,3,4.7
1400,"North Indian, European, Mediterranean",54162,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",The Black Pearl,3,4.7
1200,"Chinese, Continental, Indian, Finger Food",18880430,"253, 2nd Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore",Vanilla Sky,3,4.7
1800,"European, Continental",18339863,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",The Boozy Griffin,3,4.7
1000,"Continental, Asian, North Indian",18353106,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",House Of Commons,3,4.7
1100,"North Indian, Chinese, Mughlai, Mexican, BBQ",18767897,"24, 46th Cross, 5th Block Jayanagar, Bangalore",Sea Lions BBQ & Grills,3,4.7
1300,BBQ,18732665,"Unit T-1, Third Floor, Sampige Road Mantri Square Mall Malleshwaram, Bangalore",Barbecue by Punjab Grill,3,4.7
1500,Italian,59333,"960, Next To Gold Gym,12thMain, HAL 2nd Stage, Indiranagar, Bangalore",Chianti,3,4.7
1600,"European, Mediterranean, North Indian, BBQ",18762571,"1st Floor GRS Towers Above Spencers Hyper Market. Sarjapur Main Road, Sarjapur Road, Bangalore",AB's - Absolute Barbecues,3,4.7
1600,"North Indian, European, Mediterranean, BBQ, Kebab",50067,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Barbeque Nation,3,4.7
400,"Ice Cream, Desserts",50314,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Corner House Ice Cream,1,4.7
1500,Italian,53211,"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",Chianti,3,4.7
2800,"Chinese, Asian, Cantonese, Tea",55419,"1 MG Mall, MG Road, Bangalore",Yauatcha,4,4.7
600,"Biryani, Chinese, Mughlai, Andhra",18669271,"412, 2nd Floor, 4th Cross Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bengaluru",Zamindar,2,4.7
1600,"North Indian, European, Mediterranean, BBQ, Kebab",50068,"86, 1st Cross, Koramangala 1st Block, Bangalore",Barbeque Nation,3,4.7
1000,"Healthy Food, Salad, Mediterranean",18812682,"151, 2nd Cross, Domlur 2nd Stage, Indiranagar, Bangalore",Santé Spa Cuisine,3,4.7
100,South Indian,18359205,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",Taaza Thindi,1,4.7
350,"Ice Cream, Cafe, Beverages, Desserts",18687788,"79, Chandra Layout Main Road, KPA Block, Attiguppe, Vijay Nagar, Bangalore",Black Deer,1,4.7
2000,"Sushi, Japanese, Chinese, Thai",18802460,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Thigalarapalya, Hoodi, Whitefield, Bangalore",You Mee,4,4.7
100,South Indian,18503768,"Gandhi Bazaar, Basavanagudi, Bangalore",Namma SLN,1,4.7
600,Desserts,18663794,"550/1-1, Ground Floor, Near Post Office, 9th Main Road, MC Layout, Vijay Nagar, Bangalore",Polar Bear,2,4.7
300,"North Indian, Chinese, Fast Food, Beverages, Desserts",18782299,"107/2A, Padma Building, Vivekananda Layout, Munnekolala, Marathahalli, Bangalore",BITEBOX,1,4.7
1500,"Italian, American, Pizza",51705,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Toit,3,4.6
1400,"European, Mediterranean, North Indian, BBQ",18687633,"2nd Floor, Roseline Landmark, Plot 5BC112/5AC113, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore",AB's - Absolute Barbecues,3,4.6
1500,"American, North Indian, Chinese, Finger Food",18629607,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Sarjapur Social,3,4.6
1400,"North Indian, Continental, Italian",18585733,"7th Floor, Bren Mercury, Kaikondrahalli Junction, Sarjapur Road, Bangalore",Vapour Brewpub and Diner,3,4.6
1500,"Asian, Burmese",18625420,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",Burma Burma,3,4.6
850,"Continental, Finger Food, Asian, Chinese, Indian",18881798,"253, 1st Floor, 5th Main, 17th Cross, Sector 6, HSR Layout, HSR, Bangalore",Baar Union,2,4.6
1200,"Continental, Finger Food, North Indian, Chinese",18224672,"4th & 5th Floor, Sree Premprasad Complex, Opposite Ramaiah Hospital, New BEL Road, Bangalore",Gilly's Restobar,3,4.6
1500,"American, North Indian, Chinese, Finger Food",18385443,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala Social,3,4.6
500,"Healthy Food, North Indian, South Indian, Continental, Sandwich, Desserts",18628654,"96, 29th Main, 23rd Cross, 2nd Stage, BTM, Bangalore",eat.fit,2,4.6
900,"Cafe, American, Burger, Steak",18631839,"1st Stage, 100 feet Road, Indiranagar, Bangalore",Truffles,2,4.6
1800,"American, Continental, North Indian, Salad",54503,"749, 10th Main, 80 Feet Road, Koramangala 4th Block, Bangalore",Prost Brew Pub,3,4.6
600,"Cafe, American, Burger",54044,"4, 8th Main Road, Koramangala 4th Block, Bangalore",The Hole in the Wall Cafe,2,4.6
2500,"American, North Indian, Salad",53872,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore",Windmills Craftworks,4,4.6
2500,"American, BBQ",50462,"40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore",Hard Rock Cafe,4,4.6
600,"Pizza, Cafe, Italian",18617852,"90/3, Opposite Innovative Multiplex, Beside World of Titan, Outer Ring Road, Marathahalli, Bangalore",Onesta,2,4.6
1700,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",18494064,"4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore",MISU,3,4.6
1100,"Cafe, Pizza, Beverages",18224650,"19, Church Street, Bangalore",Brik Oven,3,4.6
600,"Pizza, Cafe, Italian",18565679,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,2,4.6
900,"Cafe, American, Burger, Steak",51039,"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Truffles,2,4.6
150,South Indian,52459,"7th Cross, Margosa Road, Malleshwaram, Bangalore",CTR,1,4.6
900,"Desserts, Cafe, Beverages",18374517,"1131, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Smoor,2,4.6
1700,"Chinese, Momos",53784,"28/2, 1st Floor, Siddapura, Whitefield Main Road, Whitefield, Bangalore near Dmart",Mainland China,3,4.6
1200,Asian,58268,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",The Fatty Bao - Asian Gastro Bar,3,4.6
1500,"Continental, Chinese, European, BBQ, Finger Food, Asian",18627369,"4th B Cross, Koramangala 5th Block, Bangalore",Biergarten,3,4.6
600,"Pizza, Cafe, Italian",18617849,"335, Ideal Home, Cooperative Society, BKVHVP Aracade, Rajarajeshwari Temple Road, Rajarajeshwari Nagar, Bangalore",Onesta,2,4.6
1400,"American, Tex-Mex, Burger, BBQ, Mexican",53590,"20, Ground Floor, Phoenix Market City, Whitefield, Bangalore",Chili's American Grill & Bar,3,4.6
1500,South Indian,18287433,"16/3, Commissariat Road, Brigade Road, Bangalore",The Permit Room,3,4.6
600,"Pizza, Cafe, Italian",18565682,"896/4, 1st A Main Road, Sector A, Above Adhiswar Showroom, Yelahanka, Bangalore",Onesta,2,4.6
1600,"European, Italian, Desserts, Salad, Juices, Steak",55788,"52/ 53, Ground Floor, Lavelle Road, Bangalore",Smoke House Deli,3,4.6
1000,"North Indian, Continental",18704795,"Shop 36/4, 4th Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",Output Bengaluru,3,4.6
1600,"European, Italian, Desserts, Salad, Juices, Steak",54397,"1209, 100 Feet Road, Opposite Apollo Clinic, Indiranagar, Bangalore",Smoke House Deli,3,4.6
600,"Pizza, Cafe, Italian",18765431,"Sy No: 54/2 ( Old Sy no 54 ), Above BATA showroom Bommasandra Village, Attible Hobbli, Anekal Taluk, Bengaluru, Karnataka 560099",Onesta,2,4.6
2200,"Spanish, Italian, Mediterranean, European, Salad",57730,"203, 2nd Floor, UB City, 24 Vittal Mallya Road, Lavelle Road, Bangalore",Caperberry,4,4.6
750,"American, Burger, Beverages",18317320,"Shop 28, Opposite BDA Complex, 14th Main Road, Sector 2, HSR Layout, Bangalore",Here & Now,2,4.6
1200,Mexican,18608992,"25, 1st Floor, 5th Cross, Koramangala 5th Block, Bangalore",Chinita Real Mexican Food,3,4.6
550,"Cafe, Desserts, Continental",61579,"203, 1st Main, Koramangala 7th Block, bangalore",Lot Like Crepes,2,4.6
1500,Italian,18588121,"1, Ground Floor, Ascendas Park Square Mall, Whitefield, Bangalore",Chianti,3,4.6
700,"Chinese, Cafe, Fast Food",18431041,"5, First Floor, SPR Comforts, Jnanabharathi Main Road, Nagarbhavi Circle, Nagarbhavi, Bangalore",Bamboo Hut,2,4.6
600,"Pizza, Cafe, Italian",18597414,"90/66, 1st Floor, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Onesta,2,4.6
3000,Thai,50857,"The Oberoi, 37-39, MG Road, Bangalore",Rim Naam - The Oberoi,4,4.6
400,Desserts,58818,"2nd Floor,  Phoenix Market City, Whitefield, Bangalore",BelgYum,1,4.6
1000,"Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai",50879,"6/4, 1st and 2nd Floor, Above Shivananda Stores, Shivananda Circle, Seshadripuram, Bangalore",Sea Rock,3,4.6
1000,"African, Burger",18346365,"120, Ground Floor, EPIP Zone, Near BMTC Bus Depot, Whitefield, Bangalore",Galito's,3,4.6
900,"North Indian, South Indian, Chinese, Seafood, Rolls",18783527,"77B, 2nd Cross 3rd Main JP Nagar 4th Phase, JP Nagar, Bangalore",Hunger Camp,2,4.6
1700,South Indian,18534396,"331, 5B, EPIP Zone Landmarks, Near L&T Infotech, Whitefield, Bangalore",Oota Bangalore,3,4.6
1000,"African, Burger",18721063,"Vegacity Mall, Unit Restaurant 2, 3rd Floor, 172/1, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Galito's,3,4.6
100,South Indian,18610383,"13, AB Square,14th Main, Sector 5, HSR, Bangalore",Arogya Ahaara,1,4.6
1200,"North Indian, Continental, Chinese",52436,"Maya International Hotel, 52/1, Church Street, Bangalore",Alibi - Maya International Hotel,3,1.8
800,"Andhra, South Indian, Chinese, North Indian",51192,"39/1, Outer Ring Road, Near Fem City, Doddanekkundi Circle, Marathahalli, Bangalore",Bhagini,2,2
450,North Indian,53466,"GMR Complex, Ground Floor, Opposite Bangalore Central, Outer Ring Road",Mast Kalandar,1,2.1
1500,Finger Food,50433,"185, Dena Complex, 2nd Floor, Brigade Road, Bangalore",Fusion Lounge,3,2.1
500,"Biryani, North Indian",51379,"27, 3rd Cross, Outer Ring Road, Marathahalli, Bangalore",Ammi's Biryani,2,2.1
500,"North Indian, Mughlai, Chinese",56645,"17, 17th F Main, CMH Road, Indiranagar, Bangalore",Midnight Hunger Solutions 24/7,2,2.1
400,Bengali,54713,"Kundanahalli Gate, Sai Baba Temple Road, Next to Family Value Mall, Marathahalli, Bangalore",Decker's Lane,1,2.1
1000,Mexican,56394,"1 MG Road Mall, MG Road, Bangalore",Mamma Mexicana,3,2.2
650,"North Indian, Chinese",50062,"42/3, Airport - Whitefield Road, After Marathahalli Bridge, Marathahalli, Bangalore",Bageecha,2,2.2
600,"Pizza, Italian",52130,"321/30,Munnekolalu village, Opposite Spicey Garden, Marathahalli, Bangalore",Pizza Hut,2,2.2
200,South Indian,18375547,"Sarjapura Main Road, Sarjapur Road, Bangalore",Madurai Idly Shop,1,2.2
400,"Chinese, South Indian, North Indian",61580,"72, Ibrahim Sahid Street, Commercial Street, Bangalore",Woody's,1,2.2
750,"North Indian, Chinese",60026,"Opposite Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",Tandoor Hut,2,2.2
600,"Kerala, Seafood",18580129,"52, 1st Floor, Residency Road, Bangalore",Taste Of Kerala,2,2.2
700,Cafe,18379661,"518, VV Arcade,1st Main, AECS Layout, B Block, Kundalahalli, Brookefield, Bangalore",Cafe Coffee Day,2,2.2
600,"North Indian, Mughlai, Biryani",50610,"939, 6th Main, 1st Block, Koramangala 1st Block, Bangalore",Lazeez,2,2.3
450,"Biryani, North Indian, Chinese",57890,"298/10, Old Madiwala Road, BTM 1st Stage Oppsite BMTC Bus Stop, BTM, Bangalore",Biryani Junction,1,2.3
450,"South Indian, North Indian, Chinese, Street Food, Juices",55678,"204, Opposite HSBC Bank, 11th KM Stone, Bilekahalli, BG Road, Bannerghatta Road, Bangalore",Vasudev Adiga's,1,2.3
800,North Indian,18574291,"163, Shreyas Arcade, Opposite Apollo Pharmacy, Green Glen Layout, Bellandur, Bangalore",Meghana Biryani,2,2.3
600,"Pizza, Italian",53027,"21, Opposite Syndicate Bank, Kaggadasapura Main Road, CV Raman Nagar, Bangalore",Pizza Hut,2,2.3
500,"North Indian, Chinese",50829,"92/3, Next to Home Town, Outer Ring Road, Marathahalli, Bangalore",Punjabi Tadka,2,2.3
450,North Indian,52179,"287, Ground Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",Mast Kalandar,1,2.3
500,"North Indian, Chinese, South Indian, Street Food",54049,"149/A R Block, West of Chord Road, Rajajinagar, Bangalore",Vande Matharam,2,2.3
800,"Andhra, South Indian, Chinese, North Indian",50134,"1253, Near Horamavu Signal, Outer Ring Road, Dodda Banaswadi, Banaswadi, Bangalore",Bhagini,2,2.3
800,"Andhra, South Indian, Chinese, North Indian",50136,"17/4, Outer Ring Road, Bellandur Circle, Bellandur, Bangalore",Bhagini,2,2.3
650,"Chinese, South Indian, North Indian",54091,"Woodlands Hotel, 5 Rajaram Mohan Roy Road, Richmond Road, Bangalore",Woody's,2,2.3
600,"Italian, Pizza",18424080,"14, 1st Cross Road, Chandra Reddy Layout, S T Bed Layout, Koramangala 1st Block, Bangalore",Crunch Pizzas,2,2.3
600,"Healthy Food, Salad, Fast Food",53514,"Food Court, Phoenix Market City Mall, Whitefield, Bangalore",Subway,2,2.3
700,Chinese,55627,"2317, 27th Main, Sector 1, Opposite NIFT College, HSR Layout, HSR, Bangalore",Wangs Kitchen,2,2.4
500,"Biryani, North Indian",50040,"3, 1st Cross, Kalyani Kala Mandir, Bannerghatta Road, Bangalore",Ammi's Biryani,2,2.4
450,North Indian,50651,"505, Near M K Retail, CMH Road, Indiranagar, Bangalore",Mast Kalandar,1,2.4
600,"Healthy Food, Salad, Fast Food",50926,"3, 1st Main, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Subway,2,2.4
600,"Pizza, Italian",52820,"8, Arikere Gate, Bannerghatta Road, Bangalore",Pizza Hut,2,2.4
550,North Indian,18359889,"934, Near to Udupi Garden Signal, 16th Main Road, Second Stage, BTM, Bangalore",Punjabi Daawat,2,2.4
750,"Pizza, Fast Food",53104,"A 1 & 2, Ground Floor, Saroj Square, White Field Main Road, Marathahalli, Bangalore",Domino's Pizza,2,2.4
450,North Indian,51478,"19, Jalaram Industrial Estate, Opposite Food World, Arakere Gate, Bannerghatta Road, Bangalore",Mast Kalandar,1,2.4
300,"North Indian, Chinese",58604,"520, Opposite Vijaya Bank, 1st Main, Arekere, MICO Layout, Bannerghatta Road, Bangalore",Paratha Junction,1,2.4
450,North Indian,51985,"156, Ground Floor, Dodda Thoguru, Begur Hobli, Phase1, Electronic City, Bangalore",Mast Kalandar,1,2.4
550,"North Indian, Mughlai",57420,"7, 2nd Floor, Gopalan Signature Mall, Old Madras Road, Bangalore",Tandooriwala,2,2.4
600,"Cafe, Fast Food, Chinese",53199,"1210, Park Avenue Building, 100 Feet Road, Indiranagar, Bangalore",Raenss Cafe,2,2.4
500,"North Indian, Chinese, Thai",58606,"85/3, Chamundeshwari Layout, Arekere , Near Paramount Pilatus, Bannerghatta Road, Bangalore",Zaika Take Away,2,2.4
450,North Indian,54355,"4th Floor,  Ascendas Park Square Mall, ITPL Main Road, Whitefield, Bangalore",Mast Kalandar,1,2.4
900,"North Indian, Biryani, Chinese, Andhra",50137,"92/6, Outer Ring Road, Near Innovative Multiplex Theatre, Marathahalli, Bangalore",Bhagini Palace,2,2.4
800,"Andhra, South Indian, Chinese, North Indian",18290052,"139/C1, Next To GR Tech Park, Pattandur Agrahara, ITPL, Main Road, Whitefield, Bangalore",Bhagini,2,2.4
700,"Pizza, Fast Food",57075,"78, B K Plaza, Kaggadasapura Main Road, Vignan Nagar, Bangalore, Kaggadasapura, Bangalore",US Pizza,2,2.4
600,"Italian, Pizza",18513154,"Marathahalli, Bangalore",Crunch Pizzas,2,2.4
600,"Healthy Food, Salad, Fast Food",53513,"Food Court, Mantri Mall, Sampige Road, Malleshwaram, Bangalore",Subway,2,2.4
600,"North Indian, Chinese",50733,"145, Ashwath Nagar, Marathahalli Ring Road, Marathahalli, Bangalore",New Tandoori Point,2,2.4
450,"Fast Food, Burger, Pizza",60199,"2, KEB Road, Kullappa Circle, Kammanahalli, Bangalore",American Bites,1,2.4
500,"Bakery, Fast Food",18412434,"3, 17th Main, 80 Feet Road, Near BDA Complex, HSR, Bangalore",The Baker's,2,2.4
400,"Fast Food, Street Food, North Indian, Biryani",18237893,"#3, 2nd main, 11th Cross, Maruthinagar, Madiwala, Banglore",Night Spoon,1,2.4
600,"Arabian, North Indian",18298276,"2nd Floor Food Court, VR Mall, Whitefield, Bangalore",Marhaba,2,2.4
1000,"Chinese, European",54967,"96, Intermediate Ring Road, Amarjyothi Layout, Domlur, Bangalore",Knight Riders,3,2.4
650,"Chinese, South Indian, North Indian",52089,"177-178, Commercial Street, Bangalore",Woody's,2,2.5
450,North Indian,51668,"80 Feet Road, Above Liberty Showroom, 4th Block, Koramangala 4th Block, Bangalore",Mast Kalandar,1,2.5
750,"Pizza, Fast Food",55277,"Soul Space Arena, Total Mall, Doddanekundi, Outer Ring Road, Marathahalli, Bangalore",Domino's Pizza,2,2.5
600,"Arabian, Rolls",52587,"2nd Floor, Food Court, Phoenix Market City Mall, Whitefield, Bangalore",Marhaba,2,2.5
400,"North Indian, Chinese, Fast Food, Rolls, Juices",55055,"17/1, SNVR Complex, Opposite Royal School, 24th Main, 18th Cross, JP Nagar, Bangalore",Grills & Rolls,1,2.5
500,North Indian,51490,"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",Dal Tadkaa,2,2.5
400,"North Indian, Chinese, Rolls, Biryani, Kebab",18263433,"534, 58 Cross 50 Feet Road, Kumaraswamy Layout, Bangalore",Mast Punjabi,1,2.5
450,"South Indian, North Indian, Chinese, Street Food, Juices",57436,"850/4, Kodigehalli Village, Sahakara Nagar, Bangalore",Vasudev Adiga's,1,2.5
600,"Italian, Pizza",18224678,"5th Main, Block 2, Kalyan Nagar, Bangalore",Crunch Pizzas,2,2.5
600,"Pizza, Italian",52420,"27th Main, 13th Cross, HSR, Bangalore",Pizza Hut,2,2.5
450,North Indian,52849,"1, 1st Floor, Akhitaan, Kundanahalli Cross Road, Brookefield, Bangalore",Mast Kalandar,1,2.5
600,"Healthy Food, Salad, Fast Food",50934,"BIAL, Devanahalli, Bangalore International Airport, International Airport, Bangalore",Subway,2,2.5
500,"North Indian, Chinese, Arabian",18412046,"Near Andra Bank, Nallurahalli Circle, Whitefield, Bangalore", Imperia Restaurant,2,2.5
850,"North Indian, Chinese, Continental",56785,"Golden Tulip Hotel, Plot 56/A, Opp-Wipro Gate 5, Electronic CIty, Phase 1, Bangalore",Spotlight - The Golden Tulip,2,2.5
450,"Cafe, American, Pizza",51709,"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore",Java City,1,2.5
600,"Pizza, Italian",52131,"19/3, Opposite Bharat Petrol Bunk, Banaswadi Dhakle, K R Puram, Hobli, Rammurthy Nagar, Bangalore",Pizza Hut,2,2.5
500,"North Indian, Chinese",18574419,"Nageshwar Rao Building, 3rd Crass Kamadhenu, Layout B Narayanapura, Mahadevapura, Marathahalli, Bangalore",Nakkala's Food Hunt,2,2.5
500,"Biryani, North Indian",53696,"84/1, Veeranjaneya Building, Ramagondanahalli, Varthur Main Road, Whitefield, Bangalore",Ammi's Biryani,2,2.5
450,"South Indian, North Indian, Chinese, Street Food, Juices",52075,"1st Cross, KG Road, Majestic Area, Bangalore, Majestic, Bangalore",Vasudev Adiga's,1,2.5
300,"North Indian, Chinese",58389,"19, K P Agrahara, Chandra Layout, Vijay Nagar, Bangalore",Brahmin's Coffee Bar Ananteshwara,1,2.5
300,Biryani,18346333,"100 Feet Road, Indiranagar, Bangalore",Gundappa Donne Biryani,1,2.5
600,"North Indian, Chinese, Arabian",18727274,"1A/3, G.R Residency, 14th Cross, 20th Main,Venkateshwara Layout,BTM 1st Stage, Bangalore",HungerLoft,2,2.5
450,North Indian,56277,"107, Pattandur Agrahara, Main Road, Whitefield, Bangalore",Krishna Punjabi Restaurant,1,2.5
650,Biryani,61670,"45, 1st Main, 3rd Cross, MSR Nagar, New BEL Road, Bangalore",Biryani Treats,2,2.5
700,Chinese,18407902,"Shop 5, Site 59/4, Velankani Drive , Doddathagur Begur Hobli, Electronic City, Bangalore",Wangs Kitchen,2,2.5
600,"Italian, Pizza",18450892,"6/1, Kaikondrahalli, Sarjapur Main Road, Bangalore, Sarjapur Road, Bangalore",Crunch Pizzas,2,2.5
300,South Indian,18599482,"Near Velankani Drive, Phase 1, Electronic City, Bangalore",Halli Kitchen,1,2.5
700,"Chinese, Momos",18422890,"46, 9th Main Road, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",Wangs Kitchen,2,2.5
300,"North Indian, Chinese",51332,"18th Main, HAL 2nd stage, Off 100 Feet Road, Indiranagar, Bangalore",Hotel Hyperdine,1,2.5
800,"Hyderabadi, Biryani, North Indian",18624898,"298/10, Old Madiwala Road, Opposite BMTC Bus Stand, 1st Stage, BTM, Bangalore",Navya's,2,2.5
250,"North Indian, Chinese",51302,"5, S.H. Layout, 1st Main, Kavalbyrasandra RT Nagar Post, RT Nagar, Bangalore",Anand Vihar,1,2.5
600,"Chinese, Thai, Momos, Vietnamese",53440,"E-1, Beach Block, 1st Floor, Food Court, Manyata Tech Park, Nagawara, Bangalore",Chung Wah Express,2,2.5
600,"Italian, Pizza",18424073,"461/1, 4th B Cross Road",Crunch Pizzas,2,2.5
600,"North Indian, Chinese",55483,"Manchayakana Halli, Wonder La Cross, Kengeri Area, Mysore Road, Bangalore",Thirumala Green Palace,2,2.5
700,Cafe,50187,"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Cafe Coffee Day,2,2.5
